1021,20220625,12,15,17,24,29,45,16,2108962250,75320081,1713907,50000,5000
1020,20220618,12,27,29,38,41,45,6,1966431520,55332489,1512461,50000,5000
1019,20220611,1,4,13,17,34,39,6,438565140,48729460,627634,50000,5000
1018,20220604,3,19,21,25,37,45,35,12361744688,66460993,1530109,50000,5000
1017,20220528,12,18,22,23,30,34,32,3517684822,58628081,1580881,50000,5000
1016,20220521,15,26,28,34,41,42,44,2260660671,60949185,1543018,50000,5000
1015,20220514,14,23,31,33,37,40,44,3051105610,39883734,1412549,50000,5000
1014,20220507,3,11,14,18,26,27,21,2410449338,58223414,1410115,50000,5000
1013,20220430,21,22,26,34,36,41,32,5047570725,53244417,1626570,50000,5000
1012,20220423,5,11,18,20,35,45,3,1861944318,53081746,1399797,50000,5000
